Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
0 jaar;2022;Aa en Hunze;210
0 jaar;2023;Aa en Hunze;188
0 jaar;2022;Aalburg;
0 jaar;2023;Aalburg;
0 jaar;2022;Aalsmeer;319
0 jaar;2023;Aalsmeer;265
0 jaar;2022;Aalten;256
0 jaar;2023;Aalten;235
0 jaar;2022;Ter Aar;
0 jaar;2023;Ter Aar;
0 jaar;2022;Aardenburg;
0 jaar;2023;Aardenburg;
0 jaar;2022;Aarle-Rixtel;
0 jaar;2023;Aarle-Rixtel;
0 jaar;2022;Abcoude;
0 jaar;2023;Abcoude;
0 jaar;2022;Achtkarspelen;282
0 jaar;2023;Achtkarspelen;268
0 jaar;2022;Adorp;
0 jaar;2023;Adorp;
0 jaar;2022;Aduard;
0 jaar;2023;Aduard;
0 jaar;2022;Akersloot;
0 jaar;2023;Akersloot;
0 jaar;2022;Alblasserdam;260
0 jaar;2023;Alblasserdam;233
0 jaar;2022;Albrandswaard;245
0 jaar;2023;Albrandswaard;247
0 jaar;2022;Alkemade;
0 jaar;2023;Alkemade;
0 jaar;2022;Alkmaar;1171
0 jaar;2023;Alkmaar;1056
0 jaar;2022;Almelo;661
0 jaar;2023;Almelo;690
0 jaar;2022;Almere;2649
0 jaar;2023;Almere;2641
0 jaar;2022;Alphen aan den Rijn;1193
0 jaar;2023;Alphen aan den Rijn;1119
0 jaar;2022;Alphen en Riel;
0 jaar;2023;Alphen en Riel;
0 jaar;2022;Alphen-Chaam;105
0 jaar;2023;Alphen-Chaam;80
0 jaar;2022;Altena;646
0 jaar;2023;Altena;569
0 jaar;2022;Ambt Delden;
0 jaar;2023;Ambt Delden;
0 jaar;2022;Ambt Montfort;
0 jaar;2023;Ambt Montfort;
0 jaar;2022;Ameland;36
0 jaar;2023;Ameland;36
0 jaar;2022;Amerongen;
0 jaar;2023;Amerongen;
0 jaar;2022;Amersfoort;1838
0 jaar;2023;Amersfoort;1706
0 jaar;2022;Ammerzoden;
0 jaar;2023;Ammerzoden;
0 jaar;2022;Amstelveen;849
0 jaar;2023;Amstelveen;729
0 jaar;2022;Amsterdam;10281
0 jaar;2023;Amsterdam;9477
0 jaar;2022;Andijk;
0 jaar;2023;Andijk;
0 jaar;2022;Angerlo;
0 jaar;2023;Angerlo;
0 jaar;2022;Anloo;
0 jaar;2023;Anloo;
0 jaar;2022;Anna Paulowna;
0 jaar;2023;Anna Paulowna;
0 jaar;2022;Apeldoorn;1628
0 jaar;2023;Apeldoorn;1513
0 jaar;2022;Appingedam;
0 jaar;2023;Appingedam;
0 jaar;2022;Arcen en Velden;
0 jaar;2023;Arcen en Velden;
0 jaar;2022;Arnemuiden;
0 jaar;2023;Arnemuiden;
0 jaar;2022;Arnhem;1700
0 jaar;2023;Arnhem;1560
0 jaar;2022;Assen;675
0 jaar;2023;Assen;584
0 jaar;2022;Asten;177
0 jaar;2023;Asten;144
0 jaar;2022;Avereest;
0 jaar;2023;Avereest;
0 jaar;2022;Axel;
0 jaar;2023;Axel;
0 jaar;2022;Baarle-Nassau;51
0 jaar;2023;Baarle-Nassau;54
0 jaar;2022;Baarn;238
0 jaar;2023;Baarn;217
0 jaar;2022;Baexem;
0 jaar;2023;Baexem;
0 jaar;2022;Baflo;
0 jaar;2023;Baflo;
0 jaar;2022;Bakel en Milheeze;
0 jaar;2023;Bakel en Milheeze;
0 jaar;2022;Barendrecht;464
0 jaar;2023;Barendrecht;399
0 jaar;2022;Barneveld;923
0 jaar;2023;Barneveld;876
0 jaar;2022;Barsingerhorn;
0 jaar;2023;Barsingerhorn;
0 jaar;2022;Bathmen;
0 jaar;2023;Bathmen;
0 jaar;2022;Bedum;
0 jaar;2023;Bedum;
0 jaar;2022;Beegden;
0 jaar;2023;Beegden;
0 jaar;2022;Beek (L.);131
0 jaar;2023;Beek (L.);129
0 jaar;2022;Beek en Donk;
0 jaar;2023;Beek en Donk;
0 jaar;2022;Beekdaelen;285
0 jaar;2023;Beekdaelen;274
0 jaar;2022;Beemster;
0 jaar;2023;Beemster;
0 jaar;2022;Beers;
0 jaar;2023;Beers;
0 jaar;2022;Beerta;
0 jaar;2023;Beerta;
0 jaar;2022;Beesel;105
0 jaar;2023;Beesel;122
0 jaar;2022;Beilen;
0 jaar;2023;Beilen;
0 jaar;2022;Belfeld;
0 jaar;2023;Belfeld;
0 jaar;2022;Bellingwedde;
0 jaar;2023;Bellingwedde;
0 jaar;2022;Bemmel;
0 jaar;2023;Bemmel;
0 jaar;2022;Bennebroek;
