kvknummer,sbicode,vestigingsnummer
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000028442903
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000050921762
41081032,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000028444035
41081032,Verzorgingshuizen (87.30.2),000028287452
41081032,Categorale ziekenhuizen (86.10.3),000028287452
41081032,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000028444388
41081032,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000028490312
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000028442865
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000028490363
41081032,Overige administratiekantoren (69.20.9),000050921932
41081032,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000028490371
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000060131357
41081032,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000050765442
41081032,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000050778390
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000028287428
41081032,Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg (86.22.2),000028287428
41081032,Jeugdzorg met overnachting en dagverblijven voor jeugdzorg (87.90.1),000050740466
41081032,Geestelijke gezondheids- en verslavingszorg met overnachting (86.10.4),000050740474
41081034,Verpleeghuizen (87.10),000030318467
41081034,Praktijken van fysiotherapeuten (86.91.2),000030318467
41081034,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000030318467
41081034,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers (86.91.9),000030318467
41081034,Verzorgingshuizen (87.30.2),000030318467
41081034,Thuiszorg (88.10.1),000030318467
41081034,Verpleeghuizen (87.10),000030318440
41081034,Praktijken van fysiotherapeuten (86.91.2),000030318440
41081034,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000030318440
41081034,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers (86.91.9),000030318440
41081034,Verzorgingshuizen (87.30.2),000030318440
41081034,Thuiszorg (88.10.1),000030318440
41081034,Verpleeghuizen (87.10),000030318483
41081034,Praktijken van fysiotherapeuten (86.91.2),000030318483
41081034,"Praktijken van psychotherapeuten, psychologen en pedagogen (86.91.3)",000030318483
