kvknummer,naam,vestigingsnummer,isHoofdvestiging,adres,huisnr-toev,huisnr,huisnr_remainder,plaats,postcode,sbi_codes,adresseerbaarobject_id,geometrie_ll,weergavenaam,longitude,latitude,oppervlakte
01098504,Stichting ZuidOostZorg / Huisartsenhospitaal,000028496019,False,Burgemeester Wuiteweg,140b,140,b,Drachten,9203 KP,,0090010000673326,POINT(6.0978393 53.09613226),"Burgemeester Wuiteweg 140b, 9203KP Drachten",6.0978393,53.09613226,1065.0
01098504,Stichting ZuidOostZorg / Locatie Boekehiem,000031128785,False,Fundatielaan,2,2,,Beetsterzwaag,9244 CK,,0086010000393823,POINT(6.0821377 53.06008216),"Fundatielaan 2, 9244CK Beetsterzwaag",6.0821377,53.06008216,93.0
01098504,Stichting ZuidOostZorg / Locatie Commissieweg Twee,000023200103,False,Commissieweg,3b,3,b,Beetsterzwaag,9244 GB,,0086010000403264,POINT(6.07269765 53.05793518),"Commissieweg 3B, 9244GB Beetsterzwaag",6.07269765,53.05793518,446.0
01098504,Stichting ZuidOostZorg / Locatie De Lijte,000023200081,False,Lijteplein,56,56,,Ureterp,9247 ES,,0086010000400607,POINT(6.17258966 53.09390838),"Lijteplein 56, 9247ES Ureterp",6.17258966,53.09390838,2845.0
01098504,Stichting ZuidOostZorg / Locatie De Miente,000023200065,False,De Hoop,2,2,,Gorredijk,8401 AC,,,,,,,
01098504,Stichting ZuidOostZorg / locatie De Waadwente,000032891423,False,Birdaarderstraatweg,68,68,,Dokkum,9101 DA,,0058010000221036,POINT(5.99431867 53.32106814),"Birdaarderstraatweg 68, 9101DA Dokkum",5.99431867,53.32106814,6635.0
01098504,Stichting ZuidOostZorg / Locatie De Wiken,000023200073,False,Dwarswyk,346a,346,a,Drachten,9202 CA,,0090010000624978,POINT(6.1119392 53.11209063),"Dwarswyk 346a, 9202CA Drachten",6.1119392,53.11209063,3566.0
01098504,Stichting ZuidOostZorg / Locatie Lijtehiem,000027698548,False,Dokter Prakkenleane,14,14,,Ureterp,9247 BZ,,0086010000400803,POINT(6.17262317 53.09317602),"Dokter Prakkenleane 14A-14, 9247BZ Ureterp",6.17262317,53.09317602,342.0
01098504,Stichting ZuidOostZorg / Locatie Marrewyk,000023199458,False,Compagnonsplein,1,1,,Drachten,9202 NN,,0090010000665066,POINT(6.11085372 53.09923704),"Compagnonsplein 1, 9202NN Drachten",6.11085372,53.09923704,51502.0
01098504,Stichting ZuidOostZorg / Locatie Neibertilla,000023199431,True,Burgemeester Wuiteweg,140,140,,Drachten,9203 KP,,0090010000621674,POINT(6.09818626 53.09667929),"Burgemeester Wuiteweg 140, 9203KP Drachten",6.09818626,53.09667929,6021.0
