WK_CODE	WK_NAAM
WK001400	Centrum
WK001401	Oud-Zuid
WK001402	Oud-West
WK001403	Oud-Noord
WK001404	Oosterparkwijk
WK001405	Zuidoost
WK001406	Helpman e.o.
WK001407	Zuidwest
WK001408	Hoogkerk e.o.
WK001409	Nieuw-West
WK001410	Noordwest
WK001411	Noordoost
WK001412	Noorddijk e.o.
WK001413	Meerdorpen
WK001414	Meerstad e.o.
WK001415	Ten Boer e.o.
WK001416	Ten Post e.o.
WK001417	Haren-West e.o.
WK001418	Haren-Oost e.o.
WK001419	Glimmen-Onnen-Noordlaren
WK003401	Centrum Almere Haven
WK003402	De Werven
WK003403	De Hoven
WK003404	De Meenten
WK003405	De Grienden
WK003406	De Marken
WK003407	De Gouwen
WK003408	De Wierden
WK003409	De Velden
WK003410	Overgooi
WK003411	De Laren
WK003414	De Steiger
WK003415	Stichtsekant
WK003416	Overig Almere Haven
WK003417	Centrum Almere Stad
WK003418	Filmwijk
WK003419	Danswijk
WK003420	Parkwijk
WK003421	Verzetswijk
WK003422	Waterwijk
WK003423	Tussen de Vaarten Noord
WK003424	Tussen de Vaarten Zuid
WK003425	Staatsliedenwijk
WK003426	Kruidenwijk
WK003427	Stedenwijk
WK003428	Muziekwijk Noord
WK003429	Muziekwijk Zuid
WK003430	Literatuurwijk
WK003431	Noorderplassen
WK003432	Hortus
WK003434	Randstad
WK003435	Markerkant
WK003436	Hollandsekant
WK003437	Gooisekant
WK003438	Veluwsekant
WK003439	Sallandsekant
WK003440	Overig Almere Stad
WK003441	Centrum Almere Buiten
WK003442	Oostvaardersbuurt
WK003443	Seizoenenbuurt
WK003444	Molenbuurt
WK003445	Bouwmeesterbuurt
WK003446	Landgoederenbuurt
WK003447	Faunabuurt
WK003448	Bloemenbuurt
WK003449	Regenboogbuurt
WK003450	Indischebuurt
WK003451	Eilandenbuurt
WK003452	Stripheldenbuurt
WK003453	Sieradenbuurt
WK003456	Poldervlak
WK003457	De Vaart
WK003458	Buitenvaart
WK003459	Overig Almere Buiten
WK003460	Europakwartier Oost
WK003461	Europakwartier West
WK003462	Columbuskwartier
WK003463	Homeruskwartier
WK003464	Olympiakwartier Oost
WK003465	Olympiakwartier West
WK003466	Duin
WK003471	Hogekant
WK003472	Middenkant
WK003473	Lagekant
WK003474	Overig Almere Poort
WK003475	Vogelhorst
WK003476	Nobelhorst
WK003477	Oosterwold
WK003479	Twentsekant
WK003485	Overig Almere Hout
WK003496	Overig Almere Pampus
WK003499	Groot water
WK003701	Stadskanaal
WK003702	Musselkanaal
WK003703	Onstwedde
WK003704	Mussel
WK003705	Alteveer
WK004700	Wijk 00 Veendam-kern
WK004701	Wijk 01 Veendam-buitengebied
WK004702	Wijk 02 Wildervank
WK005000	Wijk 00
WK005099	Groot water
WK005900	Wijk 00 Noord
WK005901	Wijk 01 Centrum
WK005902	Wijk 02 Zuid
WK006000	Wijk 00
WK006099	Groot water
WK007200	Wijk 00 Harlingen
WK007201	Wijk 01 Midlum
WK007202	Wijk 02 Wijnaldum
WK007299	Groot water
WK007401	Wijk 01 Heerenveen
WK007402	Wijk 02 Noord-Heerenveen
WK007403	Wijk 03 Hoornsterzwaag
WK007404	Wijk 04 Jubbega
WK007406	Wijk 06 Oranjewoud
WK007407	Skarsterlân
WK007409	Boarnsterhim
WK008010	Binnenstad
WK008011	Potmargezone
WK008020	Oud-Oost
WK008030	Sonnenborgh e.o.
WK008031	Westeinde e.o.
WK008032	Vossepark & Helicon
WK008040	Huizum-West
WK008041	Nijlân & De Zwette
WK008050	Heechterp & Schieringen
WK008051	Camminghaburen e.o.
WK008060	Bilgaard & Havankpark e.o.
WK008061	Vrijheidswijk
WK008062	Dokkumer Ie e.o.
WK008063	Stiens e.o.
WK008070	Aldlân & De Hemrik
WK008071	Goutum
WK008072	Hempens/Teerns & Zuiderburen
WK008073	De Zuidlanden
WK008074	Middelsee
WK008080	Dorpen Zuid-Oost
WK008081	Dorpen Zuid-West
WK008082	Grou e.o.
WK008501	Appelscha
WK008502	Donkerbroek
WK008503	Elsloo
WK008504	Fochteloo
WK008505	Haule
WK008506	Haulerwijk
WK008507	Langedijke
WK008508	Makkinga
WK008509	Nijeberkoop
WK008510	Oldeberkoop
WK008511	Oosterwolde
WK008512	Ravenswoud
WK008513	Waskemeer
WK008601	Bakkeveen
WK008602	Beetsterzwaag
WK008604	Frieschepalen
WK008605	Gorredijk
WK008606	Hemrik
WK008607	Jonkerslân
WK008608	Langezwaag
WK008609	Lippenhuizen
WK008610	Luxwoude
WK008611	Nij Beets
WK008613	Siegerswoude
WK008614	Terwispel
WK008615	Tijnje
WK008616	Ureterp
WK008617	Wijnjewoude
WK008800	Wijk 00
WK008899	Groot water
WK009000	Wijk 00 Drachten
WK009001	Wijk 01 Overig Smallingerland
WK009300	Wijk 00 West-Terschelling
WK009301	Wijk 01 Midsland
WK009302	Wijk 02 Formerum
WK009303	Wijk 03 Lies
WK009304	Wijk 04 Hoorn
WK009305	Wijk 05 Oosterend
WK009399	Groot water
WK009600	Wijk 00
WK009699	Groot water
WK009800	Wolvega
WK009801	De Wolden-Ter Idzard
WK009802	De Lamers
WK009803	Lange-Nije-Munk
WK009804	Scherpenzeel-Spanga
WK009805	Oldetrijne-Sonnega
WK009806	Blesdijke
WK009807	De Blesse-Peperga
WK009808	Steggerda
WK009809	De Hoeve-Vinkega
WK009810	Noordwolde
WK009811	Oosterstreek
WK009812	Zandhuizen
WK009813	Boijl
WK009814	Nijeholtpade
WK009815	Oldeholtpade
WK010600	Centrum
WK010601	Lariks
WK010602	Noorderpark
WK010603	Assen-Oost
WK010604	Pittelo
WK010605	Assen-West
WK010606	Peelo
WK010607	Marsdijk
WK010608	Kloosterveen
WK010699	Buitengebied
WK010910	Wijk 10 Coevorden
